TEXT;Age group;Gender;TOPICS
It's a lot of goods in a small space;30 - 60;Male;Space
I recommend quality food.;60+;Female;Range of goods | Quality of goods
I'm just going for things I always miss at home.;60+;Female;Range of goods
It's clear, I have it on the way, I like the size of the store;60+;Male;Clarity | Space
Fresh bakery;60+;Female;Quality of bakery | Quality of goods
Little space at the cash register short conveyor belt;60+;Male;Space
Good shopping here, spacious shop enough choice;60+;Male;Look and feel | Range of goods
There's a lot, it's clear here;60+;Female;Clarity | Range of goods
It's good here, I like it here, I'm happy with 33% off;< 30;Female;Look and feel | Promotions
The shop is a lot of Romanians, Roma and the shop is unclean.;< 30;Male;Cleanliness
Good accessibility by public transport;60+;Female;Other
As it was before, so it was better and there were more goods.;60+;Male;Range of goods | Quality of goods
Well reconstructed, fresh meat;30 - 60;Male;Quality of meat | Look and feel | Quality of goods
There is nothing for children and there is no restaurant.;30 - 60;Female;Vouchers, loyalty
We come here often and like for a long time;< 30;Female;Look and feel
We are close to him;30 - 60;Male;Proximity
After reconstruction everything ok, assortment;60+;Male;Look and feel | Range of goods
It's first class here, it's a big, nice assortment;< 30;Male;Space | Range of goods
Good discounts;60+;Male;Promotions
They have large spaces and choice.;60+;Female;Space | Range of goods
Sometimes there is no pastry, sometimes goods are not in action;< 30;Male;Proximity
Grumpy, shop reconstruction;60+;Male;Cleanliness
I got it near the house, I don't have to go far;< 30;Male;Proximity
I really like it here, better than Penny.;60+;Female;Look and feel
So because I miss some products and I go elsewhere;60+;Female;Availability of goods
Nice shop, good shopping, quick service.;30 - 60;Male;Look and feel | Staff
I'm used to shopping here, I like the action;60+;Male;Promotions | Range of goods
Always fresh and good pastries sweet and salt;30 - 60;Male;Quality of bakery | Quality of goods
Nice staff;< 30;Male;Staff
What I need, I'll buy here. goods are settled, shop big;60+;Male;Availability of goods | Clarity | Space | Range of goods
They have events, clean, fresh bread;< 30;Female;Availability of goods | Availability of bakery | Quality of bakery | Promotions | Cleanliness | Quality of goods
Dangerous environment, full of people, long queues;< 30;Male;Queues
Good store layout and a large selection of products;60+;Female;Arrangement of the store | Clarity | Range of goods
I don't mind being in the basement;60+;Female;Other
Friendly staff, quality pastries;60+;Female;Quality of bakery | Staff | Quality of goods
Fresh fruits and vegetables, a large selection of foods for children;60+;Female;Availability of goods | Quality of FV | Range of goods | Quality of goods
There's a good counter of meat sausages;30 - 60;Female;Quality of meat | Quality of goods
Insufficient store size.;60+;Female;Space
Cages for shops;30 - 60;Female;Cleanliness
Clarity, cleanliness, staff;30 - 60;Female;Clarity | Staff | Cleanliness
Sometimes queues, more bio, had a small assortment.;30 - 60;Male;Queues | Range of goods
Here are nice self-service checkout can be paid cash.;< 30;Male;Self-checkout
More self-service checkout;< 30;Male;Self-checkout
When I go in the morning, so cool, in the evening it's worse with the choice.;60+;Female;Look and feel
Fresh food, vegetables always fresh, at a high level;30 - 60;Female;Quality of FV | Quality of goods
So far I'm happy here, I got it a bit;60+;Female;Look and feel | Proximity
There aren't as many people here as in kaufland;30 - 60;Male;Queues
Prices do not fit;60+;Male;Price Tags
Large selection of products, spaciousness of the shop;< 30;Female;Space | Range of goods
Convenient selection of fruit vegetables;30 - 60;Male;Range of FV | Range of goods
Transparency, staff, speed, availability.;< 30;Male;Availability of goods | Queues | Clarity | Proximity | Staff
Pleasant staff of the store, quite auspicious prices.;60+;Female;Pricing | Staff
Good goods;60+;Male;Range of goods
Often broken door at the store and sometimes queue;< 30;Male;Staff
Quality food nice shop assistant;30 - 60;Male;Staff | Quality of goods
Nothing else I miss except the vegetables;< 30;Male;Availability of goods | Availability of FV | Quality of FV | Quality of goods
Untidy aisles.;30 - 60;Female;Other
Better organization in price tags;30 - 60;Female;Arrangement of the store | Price Tags
It's near the stop;60+;Female;Other
Pleasant cashier and for those spaces a good choice;30 - 60;Male;Range of goods | Staff
Wide range of products at the small shop, we sit down what we need, we had no problem here.;60+;Female;Range of goods
Good vegetables, fruits and events;60+;Female;Quality of FV | Promotions | Quality of goods
I would definitely recommend, just look around here, it is clear, clean, spacious, good shopping here.;< 30;Female;Arrangement of the store | Clarity | Cleanliness
We like to get everything here;60+;Male;Look and feel | Range of goods
Sometimes the goods are not in action;60+;Male;Availability of goods | Availability of promo goods
Cool, there are no queues in the morning;60+;Female;Look and feel | Queues
I am satisfied here, great choice, clarity.;30 - 60;Male;Look and feel | Clarity | Range of goods
Large, clean and clear. Good shopping here.;30 - 60;Female;Arrangement of the store | Clarity | Space | Cleanliness
I'm happy, I like the arrangement;30 - 60;Male;Arrangement of the store | Clarity
Cloakroom freshness;30 - 60;Female;Quality of goods
Spacious, wide streets, good sausages;< 30;Female;Space | Quality of goods
Now it's nice, clear, the vegetables have improved;30 - 60;Male;Quality of FV | Look and feel | Clarity | Quality of goods
Clear, wide assortment;30 - 60;Male;Clarity | Range of goods
I come here mainly for events and have good bread here;30 - 60;Female;Quality of bakery | Promotions | Quality of goods
Now it's nice here it's new;60+;Male;Look and feel
Very cheap goods and clean;< 30;Female;Pricing | Cleanliness
I buy mum here, they have a choice for such a small shop;60+;Male;Space | Range of goods
Kaufland has better sales events.;< 30;Female;Promotions
Shop location complies;30 - 60;Male;Proximity
Lack of goods and unpleasant staff in delicacies;60+;Female;Availability of goods | Availability of promo goods | Staff
Large assortment of food;< 30;Male;Range of goods
Freshness of goods, staff access.;60+;Male;Staff | Quality of goods
I am satisfied with the whole business;< 30;Female;Arrangement of the store | Range of goods
Big assortment of goods, I got it close;< 30;Female;Range of goods | Proximity
Good quality and price, exclusive goods, renewed range, often sold out;30 - 60;Female;Pricing | Range of goods | Quality of goods
It's good except for the arrangement it's worse;30 - 60;Female;Look and feel
Super prices, great selection, quality fruits and vegetables, pastries, long waiting at the checkout, do not ginger;< 30;Female;Range of FV | Quality of FV | Pricing | Quality of bakery | Range of goods | Quality of goods
There's a long wait at the box office, I'd welcome the self-service cash register.;60+;Male;Queues | Self-checkout
Good shopping here, quick cashier;< 30;Female;Availability of goods | Queues
They have been standing at the box office for a long time and there are always too many people, I prefer smaller chains;< 30;Female;Queues
I am satisfied here and therefore I shop here daily;60+;Male;Look and feel
Willingly give advice and explain everyone;30 - 60;Male;Staff
What we want to buy here, quite clear;60+;Male;Arrangement of the store | Clarity | Range of goods
Allocate cash registers;60+;Male;Self-checkout
Good location throws action;30 - 60;Male;Promotions
Large assortment, less difficult to navigate here;60+;Male;Arrangement of the store
I have it close, I like the shop, it is neat, clean, good shopping here. Great choice;60+;Female;Range of goods | Proximity | Cleanliness
Large selection of low prices;60+;Male;Pricing | Range of goods
Self-service checkout otherwise I can think of nothing;< 30;Female;Self-checkout
I was not satisfied with the cheese assortment, it was bad several times in a row.;30 - 60;Male;Availability of goods | Quality of goods
Supplement some foods more often and speed up cash registers.;30 - 60;Female;Availability of goods | Queues
So far, it suits me as it is;60+;Female;Other
All the shops are worth shit;30 - 60;Male;Other
Everything I find here I am satisfied;60+;Female;Range of goods
Absolutely we do not know otherwise otherwise they did very well;< 30;Female;Clarity
Extend the range of vegetables, add storage counters behind the cash registers.;30 - 60;Male;Range of FV | Range of goods
Occasionally unfinished pastries in the evening;< 30;Male;Availability of goods | Availability of bakery
It is not possible to pay in cash at separate ticket offices;60+;Female;Self-checkout
Not enough parking and too many people.;30 - 60;Female;Queues | Parking
Waiting at the checkout;60+;Male;Queues
Queues, I go to events here, high prices;60+;Male;Queues | Pricing
Good shopping here occasionally there are queues and no goods;60+;Male;Availability of goods | Queues | Availability of promo goods
It has improved a lot here lately;< 30;Male;Look and feel
Lack of goods for points ...;30 - 60;Female;Availability of goods | Availability of promo goods
I miss something hot to eat, like a hamburger, hot dog, etc.;60+;Female;Vouchers, loyalty
We buy almost everything home for cooking, quality ingredients;30 - 60;Male;Range of goods | Quality of goods
Great deals and shopping for children;60+;Female;Promotions | Range of goods
Pastry, fruit vegetables;30 - 60;Male;Quality of FV | Quality of bakery | Quality of goods
Pleasant purchase, staff, clean environment.;30 - 60;Male;Look and feel | Staff | Cleanliness
Availability, low price range;30 - 60;Female;Pricing | Range of goods
Reduce the prices of total goods;< 30;Female;Pricing
