SENTIMENT;TEXT
Positive;Affordable food
Positive;It especially suits me for big shopping
Positive;Very nice shop, very nice staff
Negative;The Great Front
Positive;Shop is close, well made new
Positive;Spacious shop, good offer, nice lady behind the box office.
Positive;I am satisfied in the shop and I just hope that the reconstruction will improve the quality of services
Positive;Total fresh and sufficient assortment
Negative;Sometimes in the evening there is no fruit and vegetables
Positive;If I need something fast, I have it nearby.
Positive;Benefit from special offers, more food choices and longer open working hours
Negative;Environment and people around the store
Negative;I do not recommend this shop
Positive;Good location shop in the middle of the city
Negative;Supplement and control bread, missing onion bread from the hypermarket
Negative;Make more goods and nicer service
Neutral;There are narrow streets at the cash registers and there is too much space for self-service
Positive;Good pastry, sausages.
Positive;I recommend, I am satisfied here with the assortment
Positive;Offer very good, the store has grown, is more spacious, cleaner.
Positive;The customer is satisfied with this shop
Positive;Large well-arranged shop with a good selection of goods.
Positive;I really have to commend it here, it is clean, well arranged, nice
Negative;It's small and full of stuff.
Negative;Poorly marking goods, good fruit
Negative;Sometimes there are queues at checkout, I don't buy potatoes here, wrong.
Positive;We shop here well, I hope there will not be Polish meat
Positive;there is good goods always nicely adjusted shop
Negative;Very narrow streets, can not be avoided.
Positive;So I am close to it and I have everything here. It suits me here
Positive;I recommended, I used to shop here
Positive;Everything in order, I like the store
Negative;Good action. But I am disappointed, I have cards and there is no goods, we collect fairly and there is no goods.
Positive;I shop here daily, very satisfied, there is everything.
Positive;I like it here. I don't mind
Positive;There are the cheapest prices
Neutral;There is always something to improve and therefore nine
Negative;Good service only a terribly long queue at the ticket offices
Neutral;Availability, self-service checkout
Positive;Self-service cash desks, large selection, decent meat.
Positive;But there is little basis, good oz and pastry so there is nothing to deal with
Positive;They have low prices and a great selection of everything
Positive;They have great events at the end of closing time. Great goods and prices.
Positive;More choice
Negative;Occasionally missing organic goods and bulgur.
Negative;Homeless in front of the entrance, higher prices
Negative;I do not like the arrangement of goods after reconstruction
Negative;Not the cheapest by what
Negative;Little pastry in the afternoon
Positive;I shop here every day, I don't know yet, but it's nice here.
Positive;Nice nice shop, spacious
Positive;Pleasant shopping, had people, friendly staff
Neutral;I usually go shopping elsewhere here when I'm on my way
Positive;We have it at the barrack and it's nice here.
Positive;Satisfied is close and always have everything.
Positive;Fresh meat
Neutral;Well, sometimes something bothers me ... sometimes there are some inconsistencies
Positive;Pleasant environment, nice staff
Negative;Smaller selection of mainly pastries.
Negative;Good to mark goods with the appropriate price, otherwise nothing.
Positive;All in all, there are better deals, but here I am close
Positive;Satisfaction, quality and fresh bakery products, vegetables, fruits, big discounts and even cheap price, wide assortment, friendly staff
Positive;Satisfaction goes every week
Negative;Toilets completely in disastrous condition
Negative;They could have a more healthy diet.
Negative;Bad Shop Arrangement Stealing here
Positive;Nice shop, nicely renovated shop
Positive;I go regularly, I have it close, I wouldn't go elsewhere
Positive;The fruit is nice, there is a selection from the bakery. Pork is nice, the chicken is not so much.
Positive;It improved a lot here. It's smaller, clearer
Positive;We are close to him
Neutral;To have room for improvement
Positive;Fresh fruits and vegetables
Positive;I drive around to work, I have it on my way
Negative;Queues at the ticket offices are often
Positive;Good selection of beers and dark light but little in action
Negative;Missed packed vegetables, I'm close.
Positive;Much satisfied, there is a large assortment.
Positive;I recommend, I used to shop here
Neutral;Quite often there are queues at the ticket offices. Otherwise, I am quite satisfied.
Negative;No prices, no pastry in the evening
Positive;We are close to the barrack here, enough offer
Negative;Fresh fruits and vegetables are few when, regardless of offer, price, action
Negative;The shop is close, I like opening hours, I lack a wider assortment of frozen goods and there are no chilled soft drinks
Negative;The special offer makes it difficult to get through
Positive;There is quiet little people and a lot of space in the aisles
Positive;Once a week a big purchase, a good selection, sometimes I do not like the quality
Negative;Expensive but high quality and level.
Negative;Discount and introduce self-service cash registers.
Negative;There is no pastry
Negative;More self-service checkout
Negative;On the one hand, it's good here, but I wouldn't buy ham here. It's so unclean here.
Positive;It is cheap well available
Negative;For vegetables throw away rotten and dazzling
Negative;To make the cash registers self-service.
Negative;It had low clearance between shelves.
Neutral;It's a good deal. But I still found Interspar better.
Negative;Higher prices had space, otherwise everything OK.
Positive;Opening hours suits me
Positive;New redesigned store, she did
Positive;There is enough to choose from, there is nothing to improve.
